V_i=5000,V_h=7000
Ising: E=0.1042, m=-0.794;  Heat bath: E=0.2417, T = 0.875; E_tot=0.195∓0.016
Ising: E=0.1036, m=-0.770;  Heat bath: E=0.2404, T = 0.869; E_tot=0.194∓0.016
Ising: E=0.1051, m=-0.796;  Heat bath: E=0.2394, T = 0.865; E_tot=0.194∓0.016
Ising: E=0.1022, m=-0.798;  Heat bath: E=0.2392, T = 0.864; E_tot=0.193∓0.016
Ising: E=0.1051, m=-0.796;  Heat bath: E=0.2375, T = 0.857; E_tot=0.192∓0.016
Ising: E=0.1029, m=-0.793;  Heat bath: E=0.2388, T = 0.863; E_tot=0.193∓0.016
Ising: E=0.1015, m=-0.810;  Heat bath: E=0.2385, T = 0.862; E_tot=0.192∓0.016
Ising: E=0.1055, m=-0.748;  Heat bath: E=0.2364, T = 0.853; E_tot=0.191∓0.016
Ising: E=0.1030, m=-0.832;  Heat bath: E=0.2368, T = 0.855; E_tot=0.191∓0.016
Ising: E=0.1056, m=-0.776;  Heat bath: E=0.2359, T = 0.851; E_tot=0.191∓0.016
Ising: E=0.1053, m=-0.779;  Heat bath: E=0.2353, T = 0.849; E_tot=0.191∓0.016
Ising: E=0.1054, m=-0.781;  Heat bath: E=0.2350, T = 0.847; E_tot=0.190∓0.016
Ising: E=0.1053, m=-0.793;  Heat bath: E=0.2343, T = 0.844; E_tot=0.190∓0.016
Ising: E=0.1047, m=-0.786;  Heat bath: E=0.2323, T = 0.837; E_tot=0.188∓0.016
Ising: E=0.1060, m=-0.794;  Heat bath: E=0.2322, T = 0.836; E_tot=0.188∓0.016
Ising: E=0.1061, m=-0.791;  Heat bath: E=0.2309, T = 0.831; E_tot=0.188∓0.016
Ising: E=0.1038, m=-0.828;  Heat bath: E=0.2323, T = 0.837; E_tot=0.188∓0.016
Ising: E=0.1069, m=-0.803;  Heat bath: E=0.2309, T = 0.831; E_tot=0.188∓0.016
Ising: E=0.1053, m=-0.800;  Heat bath: E=0.2315, T = 0.833; E_tot=0.188∓0.016
Ising: E=0.1077, m=-0.805;  Heat bath: E=0.2291, T = 0.824; E_tot=0.187∓0.016
Ising: E=0.1024, m=-0.802;  Heat bath: E=0.2313, T = 0.833; E_tot=0.187∓0.016
Ising: E=0.1040, m=-0.814;  Heat bath: E=0.2309, T = 0.831; E_tot=0.187∓0.016
Ising: E=0.1009, m=-0.818;  Heat bath: E=0.2315, T = 0.833; E_tot=0.187∓0.016
Ising: E=0.1031, m=-0.793;  Heat bath: E=0.2292, T = 0.825; E_tot=0.185∓0.016
Ising: E=0.1014, m=-0.811;  Heat bath: E=0.2293, T = 0.825; E_tot=0.185∓0.016
Ising: E=0.1035, m=-0.779;  Heat bath: E=0.2282, T = 0.821; E_tot=0.185∓0.016
Ising: E=0.1017, m=-0.826;  Heat bath: E=0.2286, T = 0.822; E_tot=0.185∓0.016
Ising: E=0.1007, m=-0.816;  Heat bath: E=0.2282, T = 0.821; E_tot=0.184∓0.016
Ising: E=0.1042, m=-0.794;  Heat bath: E=0.2262, T = 0.813; E_tot=0.184∓0.016
Ising: E=0.1023, m=-0.772;  Heat bath: E=0.2270, T = 0.816; E_tot=0.184∓0.016
Ising: E=0.1013, m=-0.808;  Heat bath: E=0.2259, T = 0.812; E_tot=0.183∓0.016
Ising: E=0.0980, m=-0.791;  Heat bath: E=0.2270, T = 0.816; E_tot=0.183∓0.016
Ising: E=0.1002, m=-0.814;  Heat bath: E=0.2271, T = 0.816; E_tot=0.183∓0.016
Ising: E=0.0985, m=-0.811;  Heat bath: E=0.2266, T = 0.815; E_tot=0.182∓0.016
Ising: E=0.0979, m=-0.819;  Heat bath: E=0.2257, T = 0.811; E_tot=0.182∓0.016
Ising: E=0.0985, m=-0.821;  Heat bath: E=0.2258, T = 0.811; E_tot=0.182∓0.016
Ising: E=0.0972, m=-0.768;  Heat bath: E=0.2262, T = 0.813; E_tot=0.182∓0.016
